FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
21,American Airlines,8646,LAX,SEA,01-09-2024 15:45,01-09-2024 15:51,01-09-2024 20:45,01-09-2024 21:10,25,Maintenance,TRUE,TRUE,Airbus A320,N24417,2040
22,American Airlines,9470,LAX,SEA,01-09-2024 13:03,01-09-2024 13:09,01-09-2024 18:03,01-09-2024 18:32,29,Maintenance,FALSE,FALSE,Airbus A320,N44604,1036
23,Delta,9464,LAX,MIA,01-09-2024 23:26,01-09-2024 23:55,02-09-2024 01:26,02-09-2024 01:51,25,Maintenance,FALSE,FALSE,Airbus A320,N75482,2121
24,Delta,8277,JFK,JFK,01-09-2024 01:27,01-09-2024 01:40,01-09-2024 02:27,01-09-2024 02:53,26,Maintenance,TRUE,FALSE,Boeing 737,N40985,2198
25,Southwest,5668,ATL,SEA,01-09-2024 11:12,01-09-2024 11:27,01-09-2024 17:12,01-09-2024 17:33,21,Weather,FALSE,TRUE,Airbus A320,N48050,825
26,Delta,5396,JFK,SFO,01-09-2024 08:33,01-09-2024 09:01,01-09-2024 09:33,01-09-2024 09:59,26,Air Traffic Control,TRUE,TRUE,Boeing 737,N26788,2780
27,Delta,6219,ATL,SEA,01-09-2024 12:08,01-09-2024 12:09,01-09-2024 18:08,01-09-2024 18:31,23,Maintenance,TRUE,FALSE,Boeing 777,N14210,1005
28,Delta,6347,LAX,JFK,01-09-2024 22:55,01-09-2024 23:15,02-09-2024 03:55,02-09-2024 03:59,4,Maintenance,TRUE,TRUE,Boeing 777,N79992,2511
29,Southwest,4116,ORD,JFK,01-09-2024 04:30,01-09-2024 04:47,01-09-2024 07:30,01-09-2024 07:43,13,Maintenance,FALSE,TRUE,Airbus A320,N23616,1788
30,Southwest,3107,DFW,BOS,01-09-2024 02:26,01-09-2024 02:47,01-09-2024 04:26,01-09-2024 04:55,29,Weather,FALSE,TRUE,Boeing 777,N32106,2906
31,United,7143,ATL,SEA,01-09-2024 04:39,01-09-2024 04:54,01-09-2024 06:39,01-09-2024 06:49,10,Weather,FALSE,FALSE,Airbus A320,N25047,241
32,American Airlines,7744,ORD,JFK,01-09-2024 13:01,01-09-2024 13:06,01-09-2024 19:01,01-09-2024 19:29,28,Air Traffic Control,TRUE,TRUE,Boeing 777,N10935,2587
33,American Airlines,2737,ATL,MIA,01-09-2024 21:12,01-09-2024 21:42,02-09-2024 02:12,02-09-2024 02:03,-9,,TRUE,TRUE,Boeing 737,N80815,1707
34,Delta,5581,ORD,JFK,01-09-2024 09:00,01-09-2024 09:24,01-09-2024 10:00,01-09-2024 10:12,12,Air Traffic Control,FALSE,FALSE,Boeing 777,N63330,1554
35,Delta,3443,DFW,SEA,01-09-2024 00:39,01-09-2024 00:40,01-09-2024 01:39,01-09-2024 02:04,25,Weather,FALSE,TRUE,Boeing 777,N75791,2538
36,American Airlines,8754,ATL,MIA,01-09-2024 23:51,01-09-2024 23:53,02-09-2024 02:51,02-09-2024 03:14,23,Maintenance,TRUE,TRUE,Boeing 737,N70925,2288
37,American Airlines,6016,DFW,JFK,01-09-2024 22:17,01-09-2024 22:19,02-09-2024 00:17,02-09-2024 00:20,3,Weather,TRUE,FALSE,Airbus A320,N58889,608
38,United,2482,ATL,JFK,01-09-2024 02:00,01-09-2024 02:27,01-09-2024 06:00,01-09-2024 06:18,18,Weather,TRUE,FALSE,Boeing 777,N95927,1919
39,American Airlines,3560,JFK,SEA,01-09-2024 09:51,01-09-2024 10:20,01-09-2024 15:51,01-09-2024 16:18,27,Air Traffic Control,FALSE,FALSE,Boeing 737,N67921,2581
40,United,1420,JFK,SEA,01-09-2024 08:19,01-09-2024 08:28,01-09-2024 13:19,01-09-2024 13:31,12,Maintenance,FALSE,FALSE,Boeing 777,N28199,2233
41,Southwest,1544,DFW,BOS,01-09-2024 14:47,01-09-2024 14:54,01-09-2024 17:47,01-09-2024 17:56,9,Air Traffic Control,FALSE,FALSE,Boeing 737,N18579,796
42,Delta,3532,JFK,BOS,01-09-2024 23:44,01-09-2024 23:45,02-09-2024 01:44,02-09-2024 01:47,3,Weather,FALSE,TRUE,Boeing 737,N33442,1667
43,Delta,7221,JFK,MIA,01-09-2024 11:35,01-09-2024 11:57,01-09-2024 15:35,01-09-2024 15:43,8,Air Traffic Control,TRUE,TRUE,Boeing 777,N86229,568
44,United,8577,ORD,JFK,01-09-2024 08:33,01-09-2024 08:39,01-09-2024 11:33,01-09-2024 11:27,-6,,FALSE,FALSE,Boeing 737,N79176,226
45,Southwest,3415,JFK,BOS,01-09-2024 09:04,01-09-2024 09:04,01-09-2024 11:04,01-09-2024 11:29,25,Air Traffic Control,TRUE,TRUE,Airbus A320,N65253,1107
46,Delta,4537,LAX,SFO,01-09-2024 21:36,01-09-2024 21:53,01-09-2024 22:36,01-09-2024 22:49,13,Maintenance,FALSE,FALSE,Boeing 777,N46361,230
47,American Airlines,3984,ORD,SFO,01-09-2024 05:43,01-09-2024 05:45,01-09-2024 06:43,01-09-2024 07:08,25,Air Traffic Control,FALSE,TRUE,Boeing 777,N44407,2645
48,Delta,67,JFK,SFO,01-09-2024 00:12,01-09-2024 00:20,01-09-2024 02:12,01-09-2024 02:10,-2,,TRUE,FALSE,Boeing 737,N63165,2395
49,Southwest,5207,ORD,SFO,01-09-2024 03:35,01-09-2024 03:58,01-09-2024 06:35,01-09-2024 06:54,19,Air Traffic Control,FALSE,FALSE,Boeing 737,N52463,1865
50,Southwest,2689,JFK,MIA,01-09-2024 15:30,01-09-2024 15:38,01-09-2024 16:30,01-09-2024 16:30,0,,FALSE,TRUE,Boeing 777,N88347,666
51,Delta,6843,DFW,SFO,01-09-2024 09:58,01-09-2024 09:59,01-09-2024 10:58,01-09-2024 10:57,-1,,FALSE,TRUE,Boeing 737,N60865,609
52,Southwest,6362,JFK,SEA,01-09-2024 10:48,01-09-2024 11:17,01-09-2024 13:48,01-09-2024 13:52,4,Air Traffic Control,TRUE,TRUE,Boeing 777,N27667,1390
53,American Airlines,1092,ORD,BOS,01-09-2024 05:48,01-09-2024 06:12,01-09-2024 09:48,01-09-2024 09:46,-2,,FALSE,FALSE,Airbus A320,N19172,2535
54,Delta,5850,ATL,SFO,01-09-2024 13:04,01-09-2024 13:28,01-09-2024 16:04,01-09-2024 15:57,-7,,TRUE,FALSE,Boeing 777,N94334,1441
55,United,460,LAX,JFK,01-09-2024 03:57,01-09-2024 04:20,01-09-2024 06:57,01-09-2024 07:27,30,Maintenance,TRUE,FALSE,Boeing 737,N55596,1659
56,Delta,7754,JFK,SFO,01-09-2024 10:33,01-09-2024 10:53,01-09-2024 14:33,01-09-2024 14:43,10,Weather,FALSE,TRUE,Boeing 737,N25887,779
57,United,1153,JFK,MIA,01-09-2024 09:35,01-09-2024 09:53,01-09-2024 15:35,01-09-2024 15:52,17,Air Traffic Control,FALSE,FALSE,Boeing 737,N74062,2021
58,Delta,5746,ATL,BOS,01-09-2024 13:50,01-09-2024 14:01,01-09-2024 19:50,01-09-2024 20:12,22,Air Traffic Control,FALSE,TRUE,Airbus A320,N53505,1394
59,United,5513,ORD,BOS,01-09-2024 10:53,01-09-2024 11:22,01-09-2024 11:53,01-09-2024 11:47,-6,,TRUE,FALSE,Airbus A320,N14512,1226
60,United,7504,ATL,JFK,01-09-2024 11:30,01-09-2024 11:48,01-09-2024 15:30,01-09-2024 15:39,9,Weather,TRUE,FALSE,Boeing 777,N67153,2797
61,Southwest,5346,JFK,BOS,01-09-2024 17:02,01-09-2024 17:15,01-09-2024 21:02,01-09-2024 20:59,-3,,FALSE,TRUE,Boeing 777,N62158,2704
62,United,1786,JFK,SEA,01-09-2024 03:50,01-09-2024 03:54,01-09-2024 09:50,01-09-2024 09:43,-7,,TRUE,FALSE,Boeing 737,N60952,1218
63,Southwest,9135,ATL,JFK,01-09-2024 13:45,01-09-2024 14:12,01-09-2024 17:45,01-09-2024 18:03,18,Maintenance,FALSE,TRUE,Airbus A320,N85803,2347
64,Southwest,7757,LAX,BOS,01-09-2024 22:38,01-09-2024 22:49,02-09-2024 02:38,02-09-2024 02:53,15,Maintenance,TRUE,TRUE,Boeing 737,N64188,371
65,American Airlines,3970,JFK,JFK,01-09-2024 21:12,01-09-2024 21:38,02-09-2024 02:12,02-09-2024 02:42,30,Weather,FALSE,TRUE,Boeing 737,N67524,1106
66,American Airlines,9246,JFK,MIA,01-09-2024 22:07,01-09-2024 22:33,02-09-2024 01:07,02-09-2024 01:27,20,Maintenance,FALSE,FALSE,Airbus A320,N28504,783
67,American Airlines,7380,ATL,MIA,01-09-2024 09:34,01-09-2024 09:35,01-09-2024 10:34,01-09-2024 10:36,2,Maintenance,FALSE,TRUE,Boeing 777,N75665,799
68,American Airlines,4341,LAX,SEA,01-09-2024 08:12,01-09-2024 08:25,01-09-2024 13:12,01-09-2024 13:17,5,Air Traffic Control,TRUE,FALSE,Airbus A320,N18683,789
69,Southwest,7820,ORD,JFK,01-09-2024 22:37,01-09-2024 22:49,02-09-2024 04:37,02-09-2024 04:38,1,Maintenance,TRUE,TRUE,Boeing 737,N32074,814
70,United,2685,JFK,SFO,01-09-2024 18:21,01-09-2024 18:24,01-09-2024 19:21,01-09-2024 19:43,22,Maintenance,FALSE,TRUE,Boeing 737,N48346,2209
71,Southwest,6462,LAX,MIA,01-09-2024 19:44,01-09-2024 20:12,02-09-2024 01:44,02-09-2024 02:06,22,Maintenance,TRUE,TRUE,Boeing 777,N96295,2288
72,Southwest,7298,JFK,JFK,01-09-2024 20:50,01-09-2024 21:04,02-09-2024 00:50,02-09-2024 01:08,18,Weather,FALSE,TRUE,Airbus A320,N17586,2135
73,Delta,6247,JFK,MIA,01-09-2024 20:04,01-09-2024 20:32,02-09-2024 01:04,02-09-2024 01:17,13,Weather,TRUE,FALSE,Boeing 777,N18039,2784
74,United,1309,LAX,SEA,01-09-2024 21:06,01-09-2024 21:27,02-09-2024 02:06,02-09-2024 02:20,14,Weather,TRUE,TRUE,Airbus A320,N15069,253
75,Southwest,4355,ORD,BOS,01-09-2024 21:03,01-09-2024 21:29,01-09-2024 22:03,01-09-2024 22:24,21,Maintenance,FALSE,TRUE,Boeing 777,N97514,2615
76,United,8875,ATL,SFO,01-09-2024 23:22,01-09-2024 23:32,02-09-2024 03:22,02-09-2024 03:43,21,Weather,TRUE,FALSE,Boeing 737,N29959,1253
77,United,2034,DFW,JFK,01-09-2024 01:02,01-09-2024 01:23,01-09-2024 07:02,01-09-2024 07:21,19,Weather,TRUE,TRUE,Boeing 777,N87230,1027
78,Southwest,8729,ORD,JFK,01-09-2024 14:26,01-09-2024 14:28,01-09-2024 18:26,01-09-2024 18:49,23,Maintenance,FALSE,FALSE,Boeing 737,N83915,1018
79,American Airlines,2180,LAX,JFK,01-09-2024 12:51,01-09-2024 13:00,01-09-2024 16:51,01-09-2024 16:56,5,Air Traffic Control,TRUE,TRUE,Boeing 737,N68629,556
80,American Airlines,6269,JFK,SEA,01-09-2024 16:18,01-09-2024 16:33,01-09-2024 18:18,01-09-2024 18:13,-5,,TRUE,TRUE,Boeing 737,N89287,356
81,United,1514,ORD,JFK,01-09-2024 23:48,01-09-2024 23:54,02-09-2024 01:48,02-09-2024 02:06,18,Maintenance,TRUE,FALSE,Boeing 737,N14977,570
82,American Airlines,4757,ATL,BOS,01-09-2024 19:49,01-09-2024 20:13,02-09-2024 00:49,02-09-2024 01:08,19,Maintenance,TRUE,FALSE,Boeing 737,N89939,2124
83,Southwest,7004,JFK,SEA,01-09-2024 01:45,01-09-2024 02:09,01-09-2024 03:45,01-09-2024 03:59,14,Air Traffic Control,FALSE,TRUE,Boeing 777,N53610,303
84,Delta,7129,JFK,BOS,01-09-2024 15:56,01-09-2024 16:04,01-09-2024 20:56,01-09-2024 21:24,28,Maintenance,FALSE,TRUE,Airbus A320,N42652,2925
85,Delta,8672,LAX,JFK,01-09-2024 00:47,01-09-2024 00:58,01-09-2024 04:47,01-09-2024 05:04,17,Air Traffic Control,TRUE,TRUE,Airbus A320,N66361,2582
86,Delta,6301,JFK,SEA,01-09-2024 17:31,01-09-2024 17:50,01-09-2024 23:31,02-09-2024 00:00,29,Air Traffic Control,TRUE,TRUE,Airbus A320,N16012,1209
87,Southwest,9145,JFK,MIA,01-09-2024 11:51,01-09-2024 12:11,01-09-2024 16:51,01-09-2024 16:43,-8,,FALSE,TRUE,Boeing 777,N86000,2108
88,Southwest,4824,JFK,SEA,01-09-2024 16:54,01-09-2024 17:11,01-09-2024 20:54,01-09-2024 21:12,18,Weather,FALSE,FALSE,Boeing 737,N64035,2831
89,Delta,6797,JFK,SEA,01-09-2024 02:32,01-09-2024 02:42,01-09-2024 08:32,01-09-2024 08:50,18,Maintenance,FALSE,FALSE,Boeing 777,N66704,1244
90,United,3903,JFK,SFO,01-09-2024 21:28,01-09-2024 21:41,02-09-2024 01:28,02-09-2024 01:28,0,,TRUE,TRUE,Airbus A320,N92639,1779
91,United,1831,ATL,BOS,01-09-2024 20:53,01-09-2024 21:11,02-09-2024 02:53,02-09-2024 02:51,-2,,TRUE,FALSE,Airbus A320,N56022,989
92,Southwest,8784,DFW,BOS,01-09-2024 13:44,01-09-2024 14:09,01-09-2024 18:44,01-09-2024 19:12,28,Weather,FALSE,FALSE,Boeing 737,N21233,1477
93,Delta,6119,ATL,JFK,01-09-2024 03:52,01-09-2024 04:01,01-09-2024 08:52,01-09-2024 09:10,18,Maintenance,TRUE,FALSE,Boeing 737,N80135,1740
94,Southwest,3484,JFK,JFK,01-09-2024 01:57,01-09-2024 02:25,01-09-2024 03:57,01-09-2024 04:17,20,Air Traffic Control,FALSE,TRUE,Airbus A320,N58706,1558
95,American Airlines,8839,DFW,SEA,01-09-2024 22:07,01-09-2024 22:25,02-09-2024 02:07,02-09-2024 02:30,23,Air Traffic Control,TRUE,FALSE,Boeing 737,N22976,2303
96,Delta,8531,JFK,BOS,01-09-2024 00:35,01-09-2024 00:50,01-09-2024 02:35,01-09-2024 02:49,14,Air Traffic Control,TRUE,TRUE,Boeing 777,N49477,794
97,American Airlines,1655,ATL,SFO,01-09-2024 11:57,01-09-2024 12:19,01-09-2024 17:57,01-09-2024 18:25,28,Weather,TRUE,TRUE,Airbus A320,N17550,2948
98,United,8925,ATL,JFK,01-09-2024 22:50,01-09-2024 22:55,02-09-2024 03:50,02-09-2024 04:09,19,Weather,TRUE,TRUE,Boeing 777,N44017,1436
99,Delta,5930,LAX,SEA,01-09-2024 08:47,01-09-2024 08:52,01-09-2024 11:47,01-09-2024 12:08,21,Maintenance,FALSE,FALSE,Boeing 777,N70967,2608
100,American Airlines,2066,ORD,MIA,01-09-2024 19:42,01-09-2024 19:42,01-09-2024 22:42,01-09-2024 22:33,-9,,FALSE,TRUE,Boeing 777,N18308,2977
101,Southwest,2336,ORD,MIA,01-09-2024 04:16,01-09-2024 04:40,01-09-2024 05:16,01-09-2024 05:24,8,Maintenance,TRUE,FALSE,Boeing 737,N91627,2598
102,Southwest,4400,ORD,BOS,01-09-2024 18:32,01-09-2024 19:01,02-09-2024 00:32,02-09-2024 00:55,23,Air Traffic Control,FALSE,TRUE,Boeing 777,N38109,832
103,Delta,1876,JFK,MIA,01-09-2024 23:45,02-09-2024 00:11,02-09-2024 05:45,02-09-2024 06:03,18,Maintenance,TRUE,FALSE,Boeing 777,N73397,1241
104,Southwest,9657,JFK,JFK,01-09-2024 21:46,01-09-2024 21:52,02-09-2024 01:46,02-09-2024 01:38,-8,,FALSE,TRUE,Boeing 737,N29011,780
105,United,9544,ATL,MIA,01-09-2024 00:55,01-09-2024 01:17,01-09-2024 06:55,01-09-2024 07:09,14,Air Traffic Control,FALSE,FALSE,Boeing 737,N38072,1526
106,Southwest,3438,LAX,JFK,01-09-2024 13:39,01-09-2024 13:46,01-09-2024 19:39,01-09-2024 19:59,20,Maintenance,FALSE,TRUE,Boeing 737,N63216,502
107,American Airlines,6768,DFW,SEA,01-09-2024 03:52,01-09-2024 04:02,01-09-2024 07:52,01-09-2024 07:56,4,Weather,TRUE,TRUE,Boeing 737,N56746,1525
108,Southwest,1332,JFK,SFO,01-09-2024 04:35,01-09-2024 04:49,01-09-2024 05:35,01-09-2024 06:05,30,Maintenance,TRUE,TRUE,Boeing 737,N66805,1435
109,United,5828,DFW,MIA,01-09-2024 04:44,01-09-2024 05:08,01-09-2024 09:44,01-09-2024 09:57,13,Weather,FALSE,FALSE,Boeing 777,N12722,1722
110,Southwest,4850,DFW,JFK,01-09-2024 05:15,01-09-2024 05:33,01-09-2024 06:15,01-09-2024 06:40,25,Weather,TRUE,TRUE,Airbus A320,N31732,1224
111,Southwest,4941,LAX,BOS,01-09-2024 03:39,01-09-2024 04:00,01-09-2024 05:39,01-09-2024 06:07,28,Weather,FALSE,TRUE,Boeing 737,N79619,1428
112,American Airlines,1850,ORD,JFK,01-09-2024 18:30,01-09-2024 18:53,01-09-2024 20:30,01-09-2024 20:22,-8,,FALSE,TRUE,Airbus A320,N60616,140
113,American Airlines,4728,DFW,MIA,01-09-2024 04:18,01-09-2024 04:25,01-09-2024 07:18,01-09-2024 07:12,-6,,TRUE,FALSE,Airbus A320,N31314,2465
114,United,2334,ATL,MIA,01-09-2024 06:44,01-09-2024 07:11,01-09-2024 10:44,01-09-2024 10:59,15,Air Traffic Control,FALSE,FALSE,Boeing 777,N36204,650
115,American Airlines,6764,DFW,SEA,01-09-2024 23:32,01-09-2024 23:34,02-09-2024 00:32,02-09-2024 00:33,1,Weather,TRUE,FALSE,Airbus A320,N11701,2571
116,Southwest,8765,ATL,SEA,01-09-2024 13:23,01-09-2024 13:50,01-09-2024 15:23,01-09-2024 15:40,17,Maintenance,TRUE,FALSE,Airbus A320,N99933,715
117,Southwest,33,LAX,BOS,01-09-2024 01:01,01-09-2024 01:22,01-09-2024 05:01,01-09-2024 05:27,26,Air Traffic Control,TRUE,FALSE,Boeing 777,N94080,2707
118,Delta,3914,ORD,JFK,01-09-2024 14:02,01-09-2024 14:31,01-09-2024 17:02,01-09-2024 17:20,18,Air Traffic Control,FALSE,FALSE,Boeing 777,N78517,2349
119,Southwest,3789,ORD,SFO,01-09-2024 16:24,01-09-2024 16:42,01-09-2024 18:24,01-09-2024 18:28,4,Weather,FALSE,FALSE,Airbus A320,N10311,820
120,Delta,8426,ATL,BOS,01-09-2024 05:46,01-09-2024 06:15,01-09-2024 07:46,01-09-2024 07:46,0,,FALSE,FALSE,Airbus A320,N50456,1253
121,Southwest,9278,JFK,BOS,01-09-2024 05:16,01-09-2024 05:25,01-09-2024 08:16,01-09-2024 08:10,-6,,TRUE,TRUE,Boeing 777,N14605,823
122,United,4889,ATL,JFK,01-09-2024 05:12,01-09-2024 05:41,01-09-2024 11:12,01-09-2024 11:15,3,Air Traffic Control,TRUE,FALSE,Boeing 737,N80232,2714
123,Delta,3422,ORD,SEA,01-09-2024 18:42,01-09-2024 18:53,01-09-2024 21:42,01-09-2024 21:48,6,Weather,FALSE,TRUE,Boeing 737,N74337,845
124,American Airlines,4511,ATL,BOS,01-09-2024 19:36,01-09-2024 19:49,02-09-2024 00:36,02-09-2024 01:04,28,Air Traffic Control,FALSE,FALSE,Boeing 777,N30599,1294
125,Delta,7691,LAX,JFK,01-09-2024 05:33,01-09-2024 05:47,01-09-2024 06:33,01-09-2024 06:37,4,Maintenance,FALSE,TRUE,Airbus A320,N12230,2180
126,United,4118,ORD,SFO,01-09-2024 09:07,01-09-2024 09:14,01-09-2024 15:07,01-09-2024 15:07,0,,FALSE,TRUE,Boeing 777,N98141,2627
127,Southwest,8075,DFW,SFO,01-09-2024 06:28,01-09-2024 06:51,01-09-2024 10:28,01-09-2024 10:38,10,Air Traffic Control,TRUE,FALSE,Boeing 777,N34176,1392
128,Delta,3917,DFW,JFK,01-09-2024 12:07,01-09-2024 12:14,01-09-2024 14:07,01-09-2024 13:57,-10,,TRUE,TRUE,Airbus A320,N37448,1251
129,Delta,9761,DFW,BOS,01-09-2024 23:51,02-09-2024 00:04,02-09-2024 02:51,02-09-2024 03:01,10,Air Traffic Control,TRUE,FALSE,Boeing 777,N92973,2357
130,Delta,9534,LAX,MIA,01-09-2024 22:11,01-09-2024 22:41,02-09-2024 02:11,02-09-2024 02:01,-10,,TRUE,FALSE,Airbus A320,N38563,2086
131,American Airlines,7933,JFK,BOS,01-09-2024 19:47,01-09-2024 19:54,01-09-2024 20:47,01-09-2024 20:53,6,Weather,FALSE,FALSE,Boeing 777,N97246,1120
132,United,7915,JFK,BOS,01-09-2024 21:37,01-09-2024 22:07,01-09-2024 22:37,01-09-2024 22:56,19,Maintenance,FALSE,FALSE,Boeing 737,N13555,344
133,Southwest,7983,ATL,SEA,01-09-2024 13:30,01-09-2024 13:42,01-09-2024 18:30,01-09-2024 18:23,-7,,TRUE,FALSE,Boeing 737,N30659,2825
134,Delta,854,ATL,BOS,01-09-2024 17:20,01-09-2024 17:50,01-09-2024 21:20,01-09-2024 21:33,13,Air Traffic Control,TRUE,FALSE,Airbus A320,N13820,946
135,Delta,4491,LAX,MIA,01-09-2024 04:20,01-09-2024 04:26,01-09-2024 08:20,01-09-2024 08:20,0,,TRUE,TRUE,Boeing 737,N10023,1458
136,United,2095,ORD,JFK,01-09-2024 10:35,01-09-2024 11:02,01-09-2024 15:35,01-09-2024 16:01,26,Air Traffic Control,FALSE,FALSE,Boeing 737,N79938,2785
137,American Airlines,2859,ORD,BOS,01-09-2024 15:28,01-09-2024 15:34,01-09-2024 20:28,01-09-2024 20:37,9,Maintenance,TRUE,TRUE,Boeing 737,N22221,2891
138,Southwest,2960,ORD,BOS,01-09-2024 05:32,01-09-2024 05:39,01-09-2024 08:32,01-09-2024 08:49,17,Weather,TRUE,FALSE,Boeing 777,N21946,1387
139,American Airlines,3931,JFK,SFO,01-09-2024 15:35,01-09-2024 15:44,01-09-2024 21:35,01-09-2024 21:56,21,Maintenance,TRUE,FALSE,Airbus A320,N83429,1691
140,American Airlines,8994,ATL,SFO,01-09-2024 06:38,01-09-2024 07:06,01-09-2024 11:38,01-09-2024 11:58,20,Weather,TRUE,TRUE,Airbus A320,N26793,1400
141,Southwest,3347,ORD,SEA,01-09-2024 19:01,01-09-2024 19:09,01-09-2024 20:01,01-09-2024 20:23,22,Maintenance,TRUE,FALSE,Boeing 777,N42961,2918
142,Southwest,2558,JFK,SFO,01-09-2024 03:00,01-09-2024 03:30,01-09-2024 05:00,01-09-2024 05:20,20,Weather,TRUE,FALSE,Boeing 777,N80204,868
143,United,532,DFW,MIA,01-09-2024 01:13,01-09-2024 01:41,01-09-2024 02:13,01-09-2024 02:05,-8,,FALSE,FALSE,Boeing 777,N74578,2118
144,Delta,4725,ORD,BOS,01-09-2024 20:42,01-09-2024 20:57,01-09-2024 23:42,02-09-2024 00:03,21,Maintenance,TRUE,FALSE,Boeing 737,N36572,1151
145,American Airlines,8976,LAX,BOS,01-09-2024 11:57,01-09-2024 12:15,01-09-2024 15:57,01-09-2024 16:12,15,Air Traffic Control,TRUE,FALSE,Boeing 777,N50897,2882
146,Southwest,274,LAX,SFO,01-09-2024 06:47,01-09-2024 07:02,01-09-2024 08:47,01-09-2024 08:57,10,Weather,TRUE,FALSE,Boeing 737,N44846,2432
147,American Airlines,7201,JFK,BOS,01-09-2024 11:39,01-09-2024 11:52,01-09-2024 14:39,01-09-2024 14:36,-3,,TRUE,FALSE,Airbus A320,N30178,2661
148,Delta,3548,ATL,SEA,01-09-2024 10:02,01-09-2024 10:04,01-09-2024 15:02,01-09-2024 15:22,20,Maintenance,TRUE,TRUE,Boeing 777,N35341,1462
149,American Airlines,4109,DFW,JFK,01-09-2024 22:54,01-09-2024 23:15,02-09-2024 04:54,02-09-2024 05:24,30,Weather,TRUE,TRUE,Airbus A320,N94457,1870
